age;job;marital;education;default;balance;housing;loan;contact;day;month;duration;campaign;pdays;previous;poutcome;y
38;entrepreneur;single;tertiary;no;-1326;no;no;unknown;23;jul;-193;3;109;-2;unknown;yes
58;management;divorced;tertiary;no;-197;yes;no;unknown;27;may;277;4;-1;0;unknown;no
58;admin.;single;tertiary;no;1598;no;no;cellular;15;oct;308;2;61;0;unknown;no
45;management;married;secondary;no;672;yes;no;telephone;28;jan;227;3;187;1;other;no
27;management;married;tertiary;no;1918;no;no;cellular;9;feb;61;1;-1;0;unknown;no
31;student;single;unknown;no;2347;no;no;cellular;18;dec;180;2;-1;0;unknown;no
35;technician;single;tertiary;no;-2438;no;no;unknown;10;may;-26;1;127;3;unknown;yes
44;technician;married;tertiary;no;1818;yes;yes;cellular;30;apr;247;1;-1;0;unknown;no
32;entrepreneur;married;secondary;no;604;no;no;cellular;29;jan;270;1;-1;0;unknown;no
33;management;married;tertiary;no;1047;no;no;cellular;8;aug;512;4;-1;0;unknown;yes
42;retired;married;secondary;no;-593;yes;no;unknown;25;may;230;5;47;-2;unknown;no
66;technician;single;unknown;no;2733;yes;no;cellular;20;may;132;8;-68;-1;unknown;yes
37;housemaid;married;unknown;no;7204;no;no;unknown;28;feb;1001;0;-105;2;unknown;no
41;admin.;married;secondary;no;488;no;yes;telephone;11;jul;178;2;-1;0;unknown;no
25;management;married;secondary;no;3726;yes;no;unknown;14;jun;761;9;-58;2;unknown;yes
41;technician;married;secondary;no;0;no;no;cellular;22;aug;209;2;-1;0;unknown;no
45;entrepreneur;married;tertiary;no;4055;no;no;unknown;11;may;389;3;84;-1;unknown;no
53;entrepreneur;single;tertiary;no;4070;yes;no;unknown;15;oct;461;1;88;-1;unknown;yes
54;management;single;tertiary;no;7078;yes;no;unknown;19;may;158;3;217;0;unknown;yes
43;admin.;single;tertiary;no;-600;yes;no;unknown;24;oct;69;6;87;3;unknown;yes
51;blue-collar;single;secondary;no;4136;yes;no;unknown;13;may;-309;0;40;1;unknown;no
65;management;married;secondary;no;5251;no;no;telephone;14;apr;226;5;-1;0;unknown;no
56;technician;married;secondary;no;-1753;no;no;unknown;7;dec;298;3;245;-5;unknown;no
41;technician;married;tertiary;no;2530;yes;no;cellular;25;jul;495;3;31;-4;unknown;yes
34;blue-collar;married;secondary;no;1898;yes;no;unknown;10;nov;817;1;91;0;unknown;no
9;technician;married;tertiary;no;1064;yes;yes;unknown;24;oct;276;4;57;1;unknown;yes
33;services;single;tertiary;no;3066;yes;no;unknown;10;jun;-26;0;-68;0;unknown;yes
41;technician;married;tertiary;no;-2034;no;yes;unknown;15;nov;406;3;53;1;unknown;yes
33;management;single;tertiary;no;112;no;no;cellular;22;aug;112;4;-1;0;unknown;no
33;services;married;secondary;no;2184;yes;no;cellular;20;apr;151;1;-1;0;unknown;no
37;management;married;tertiary;no;4332;no;no;cellular;14;aug;213;2;-1;0;unknown;no
47;technician;married;secondary;no;-226;yes;no;cellular;11;jul;289;2;-1;0;unknown;no
32;entrepreneur;married;unknown;no;-1328;no;no;cellular;16;dec;185;-2;71;0;failure;yes
33;blue-collar;married;secondary;no;157;yes;no;cellular;18;nov;110;1;182;1;failure;no
41;technician;single;tertiary;no;-640;no;no;unknown;6;jul;366;-2;232;1;unknown;no
41;entrepreneur;married;tertiary;no;3802;no;yes;unknown;25;aug;167;-1;39;-3;unknown;yes
42;entrepreneur;married;secondary;no;-899;no;no;unknown;11;jan;185;5;6;4;unknown;yes
33;retired;single;unknown;no;-2197;no;no;unknown;21;oct;213;-3;-40;-1;unknown;no
51;unknown;married;secondary;no;487;no;yes;unknown;21;nov;591;3;143;0;unknown;yes
31;unknown;single;secondary;no;672;yes;no;unknown;17;may;589;0;93;0;unknown;no
36;technician;single;tertiary;no;1390;yes;no;cellular;14;dec;279;3;61;0;failure;no
37;management;single;secondary;no;793;no;no;cellular;7;oct;130;1;-1;0;unknown;no
23;technician;single;tertiary;no;3854;yes;no;cellular;22;may;114;7;78;-1;unknown;yes
28;retired;married;unknown;no;-6120;yes;no;cellular;9;aug;177;3;166;-2;unknown;yes
31;management;single;secondary;no;2317;no;no;cellular;16;apr;87;2;-1;0;unknown;no
32;management;single;tertiary;no;1685;yes;no;unknown;12;jul;577;4;73;1;unknown;yes
42;management;married;unknown;no;2099;no;yes;unknown;0;jun;449;1;-43;0;unknown;no
31;technician;single;secondary;no;279;no;no;cellular;12;aug;213;2;-1;0;unknown;no
39;entrepreneur;divorced;tertiary;no;1263;no;no;unknown;18;jul;308;3;-171;1;failure;yes
27;services;single;secondary;no;1820;yes;no;cellular;17;jul;1027;1;-1;0;unknown;yes
47;blue-collar;married;primary;no;1236;no;no;cellular;28;jan;163;1;-1;0;unknown;no
34;entrepreneur;married;tertiary;no;6883;no;no;unknown;10;feb;566;1;207;-2;unknown;no
39;blue-collar;single;secondary;no;523;yes;no;cellular;14;may;306;1;-1;0;unknown;no
44;entrepreneur;married;secondary;no;-1331;no;no;unknown;16;may;144;4;57;0;unknown;yes
